rate_date,from_currency,to_currency,rate_value
2024-02-13,JPY,KHR,150.329235
2024-02-13,CNY,KHR,7.277369
2024-02-13,GBP,KHR,0.788782
2024-02-13,THB,KHR,35.32936
2024-02-13,KRW,KHR,1315.980325
2024-02-14,USD,KHR,1.00124
2024-02-14,EUR,KHR,0.922142
2024-02-14,JPY,KHR,147.159501
2024-02-14,CNY,KHR,7.238985
2024-02-14,GBP,KHR,0.796627
2024-02-14,THB,KHR,35.726477
2024-02-14,KRW,KHR,1325.189985
2024-02-15,USD,KHR,1.000309
2024-02-15,EUR,KHR,0.914295
2024-02-15,JPY,KHR,148.491482
2024-02-15,CNY,KHR,7.241359
2024-02-15,GBP,KHR,0.792385
2024-02-15,THB,KHR,35.56179
2024-02-15,KRW,KHR,1315.581353
2024-02-16,USD,KHR,0.998848
2024-02-16,EUR,KHR,0.916422
2024-02-16,JPY,KHR,148.116259
2024-02-16,CNY,KHR,7.258633
2024-02-16,GBP,KHR,0.77904
2024-02-16,THB,KHR,35.464506
2024-02-16,KRW,KHR,1324.156876
2024-02-19,USD,KHR,1.001522
2024-02-19,EUR,KHR,0.920328
2024-02-19,JPY,KHR,150.697536
2024-02-19,CNY,KHR,7.228445
2024-02-19,GBP,KHR,0.786472
2024-02-19,THB,KHR,35.428177
2024-02-19,KRW,KHR,1334.112583
2024-02-20,USD,KHR,1.000994
2024-02-20,EUR,KHR,0.922242
2024-02-20,JPY,KHR,153.483002
2024-02-20,CNY,KHR,7.239063
2024-02-20,GBP,KHR,0.79294
2024-02-20,THB,KHR,35.532759
2024-02-20,KRW,KHR,1317.949776
2024-02-21,USD,KHR,1.002316
2024-02-21,EUR,KHR,0.92693
2024-02-21,JPY,KHR,147.826222
2024-02-21,CNY,KHR,7.22842
2024-02-21,GBP,KHR,0.79203
2024-02-21,THB,KHR,35.583409
2024-02-21,KRW,KHR,1307.540349
2024-02-22,USD,KHR,0.997744
2024-02-22,EUR,KHR,0.911231
2024-02-22,JPY,KHR,149.414951
2024-02-22,CNY,KHR,7.237011
2024-02-22,GBP,KHR,0.791636
2024-02-22,THB,KHR,35.41803
2024-02-22,KRW,KHR,1308.688044
2024-02-23,USD,KHR,0.997977
2024-02-23,EUR,KHR,0.921514
2024-02-23,JPY,KHR,149.942585
2024-02-23,CNY,KHR,7.268757
2024-02-23,GBP,KHR,0.793748
2024-02-23,THB,KHR,35.479689
2024-02-23,KRW,KHR,1332.467171
2024-02-26,USD,KHR,0.999864
2024-02-26,EUR,KHR,0.91696
2024-02-26,JPY,KHR,148.877388
2024-02-26,CNY,KHR,7.223064
2024-02-26,GBP,KHR,0.779734
2024-02-26,THB,KHR,35.516649
2024-02-26,KRW,KHR,1322.308943
2024-02-27,USD,KHR,0.999638
2024-02-27,EUR,KHR,0.916716
2024-02-27,JPY,KHR,149.944677
2024-02-27,CNY,KHR,7.289721
2024-02-27,GBP,KHR,0.790181
2024-02-27,THB,KHR,35.445937
2024-02-27,KRW,KHR,1314.535028
2024-02-28,USD,KHR,0.99993
2024-02-28,EUR,KHR,0.914182
2024-02-28,JPY,KHR,149.350188
2024-02-28,CNY,KHR,7.241772
2024-02-28,GBP,KHR,0.798744
2024-02-28,THB,KHR,35.60048
2024-02-28,KRW,KHR,1329.55443
2024-02-29,USD,KHR,0.999287
2024-02-29,EUR,KHR,0.923082
2024-02-29,JPY,KHR,148.137299
2024-02-29,CNY,KHR,7.249034
2024-02-29,GBP,KHR,0.791985
2024-02-29,THB,KHR,35.418377
2024-02-29,KRW,KHR,1338.474269
2024-03-01,USD,KHR,1.000567
2024-03-01,EUR,KHR,0.911247
2024-03-01,JPY,KHR,150.16122
2024-03-01,CNY,KHR,7.228201
2024-03-01,GBP,KHR,0.790007
2024-03-01,THB,KHR,35.549604
2024-03-01,KRW,KHR,1323.608522
2024-03-04,USD,KHR,0.997961
2024-03-04,EUR,KHR,0.914672
2024-03-04,JPY,KHR,150.424058
2024-03-04,CNY,KHR,7.277683
2024-03-04,GBP,KHR,0.799021
2024-03-04,THB,KHR,35.692037
2024-03-04,KRW,KHR,1301.006842
2024-03-05,USD,KHR,1.000769
2024-03-05,EUR,KHR,0.911185
2024-03-05,JPY,KHR,151.429866
2024-03-05,CNY,KHR,7.247337
2024-03-05,GBP,KHR,0.784591
2024-03-05,THB,KHR,35.714054
2024-03-05,KRW,KHR,1325.950291
2024-03-06,USD,KHR,0.998109
2024-03-06,EUR,KHR,0.92135
2024-03-06,JPY,KHR,148.625557
2024-03-06,CNY,KHR,7.243223
2024-03-06,GBP,KHR,0.787795
2024-03-06,THB,KHR,35.646277
2024-03-06,KRW,KHR,1306.848834
2024-03-07,USD,KHR,1.000317
2024-03-07,EUR,KHR,0.928345
2024-03-07,JPY,KHR,148.510955
2024-03-07,CNY,KHR,7.2461
2024-03-07,GBP,KHR,0.790957
2024-03-07,THB,KHR,35.426547
2024-03-07,KRW,KHR,1325.986537
2024-03-08,USD,KHR,1.000097
2024-03-08,EUR,KHR,0.915659
2024-03-08,JPY,KHR,151.607371
2024-03-08,CNY,KHR,7.262925
2024-03-08,GBP,KHR,0.789208
2024-03-08,THB,KHR,35.432194
2024-03-08,KRW,KHR,1312.752489
2024-03-11,USD,KHR,1.001231
2024-03-11,EUR,KHR,0.919326
2024-03-11,JPY,KHR,150.049488
2024-03-11,CNY,KHR,7.234658
2024-03-11,GBP,KHR,0.792922
2024-03-11,THB,KHR,35.487648
2024-03-11,KRW,KHR,1327.05801
2024-03-12,USD,KHR,0.999817
2024-03-12,EUR,KHR,0.923816
2024-03-12,JPY,KHR,150.304171
2024-03-12,CNY,KHR,7.236623
2024-03-12,GBP,KHR,0.785925
2024-03-12,THB,KHR,35.399877
2024-03-12,KRW,KHR,1313.155592
2024-03-13,USD,KHR,0.999016
2024-03-13,EUR,KHR,0.923983
2024-03-13,JPY,KHR,149.444264
2024-03-13,CNY,KHR,7.28547
2024-03-13,GBP,KHR,0.800804
2024-03-13,THB,KHR,35.50258
2024-03-13,KRW,KHR,1305.696321
2024-03-14,USD,KHR,0.999619
2024-03-14,EUR,KHR,0.919653
2024-03-14,JPY,KHR,147.719823
2024-03-14,CNY,KHR,7.232746
2024-03-14,GBP,KHR,0.79136
2024-03-14,THB,KHR,35.451071
2024-03-14,KRW,KHR,1312.899744
2024-03-15,USD,KHR,0.999241
2024-03-15,EUR,KHR,0.928219
2024-03-15,JPY,KHR,149.309063
2024-03-15,CNY,KHR,7.215965
2024-03-15,GBP,KHR,0.788232
2024-03-15,THB,KHR,35.601638
2024-03-15,KRW,KHR,1313.673482
2024-03-18,USD,KHR,1.000482
2024-03-18,EUR,KHR,0.923348
2024-03-18,JPY,KHR,150.395945
2024-03-18,CNY,KHR,7.280535
2024-03-18,GBP,KHR,0.787391
2024-03-18,THB,KHR,35.620636
2024-03-18,KRW,KHR,1312.674033
2024-03-19,USD,KHR,0.999603
2024-03-19,EUR,KHR,0.925502
2024-03-19,JPY,KHR,150.483561
2024-03-19,CNY,KHR,7.240061
2024-03-19,GBP,KHR,0.784353
2024-03-19,THB,KHR,35.559817
2024-03-19,KRW,KHR,1314.175356
2024-03-20,USD,KHR,0.999076
2024-03-20,EUR,KHR,0.917019
2024-03-20,JPY,KHR,149.794807
2024-03-20,CNY,KHR,7.178575
2024-03-20,GBP,KHR,0.79171
2024-03-20,THB,KHR,35.518521
2024-03-20,KRW,KHR,1314.598976
2024-03-21,USD,KHR,1.001037
2024-03-21,EUR,KHR,0.922813
2024-03-21,JPY,KHR,148.774884
2024-03-21,CNY,KHR,7.220596
2024-03-21,GBP,KHR,0.793295
2024-03-21,THB,KHR,35.338538
2024-03-21,KRW,KHR,1316.926569
2024-03-22,USD,KHR,0.999369
2024-03-22,EUR,KHR,0.920321
2024-03-22,JPY,KHR,149.752507
2024-03-22,CNY,KHR,7.241065
2024-03-22,GBP,KHR,0.795379
2024-03-22,THB,KHR,35.524289
2024-03-22,KRW,KHR,1317.089472
2024-03-25,USD,KHR,0.998789
2024-03-25,EUR,KHR,0.923321
2024-03-25,JPY,KHR,150.131663
2024-03-25,CNY,KHR,7.282015
2024-03-25,GBP,KHR,0.786457
2024-03-25,THB,KHR,35.502814
2024-03-25,KRW,KHR,1319.457679
2024-03-26,USD,KHR,0.999912
2024-03-26,EUR,KHR,0.920048
2024-03-26,JPY,KHR,147.449411
2024-03-26,CNY,KHR,7.263892
2024-03-26,GBP,KHR,0.793096
2024-03-26,THB,KHR,35.620395
2024-03-26,KRW,KHR,1340.786067
2024-03-27,USD,KHR,0.999681
2024-03-27,EUR,KHR,0.919834
2024-03-27,JPY,KHR,149.511701
2024-03-27,CNY,KHR,7.296246
2024-03-27,GBP,KHR,0.781794
2024-03-27,THB,KHR,35.551734
2024-03-27,KRW,KHR,1306.409518
2024-03-28,USD,KHR,0.997418
2024-03-28,EUR,KHR,0.910704
2024-03-28,JPY,KHR,147.847405
2024-03-28,CNY,KHR,7.270959
2024-03-28,GBP,KHR,0.785884
2024-03-28,THB,KHR,35.475776
2024-03-28,KRW,KHR,1309.249142
2024-03-29,USD,KHR,1.000611
2024-03-29,EUR,KHR,0.914931
2024-03-29,JPY,KHR,151.075912
2024-03-29,CNY,KHR,7.21124
2024-03-29,GBP,KHR,0.786375
2024-03-29,THB,KHR,35.513072
2024-03-29,KRW,KHR,1320.228332
2024-04-01,USD,KHR,1.001425
2024-04-01,EUR,KHR,0.920554
2024-04-01,JPY,KHR,148.05543
2024-04-01,CNY,KHR,7.223773
2024-04-01,GBP,KHR,0.787285
2024-04-01,THB,KHR,35.577217
2024-04-01,KRW,KHR,1323.546247
2024-04-02,USD,KHR,0.999881
2024-04-02,EUR,KHR,0.924
2024-04-02,JPY,KHR,148.867918
2024-04-02,CNY,KHR,7.236055
2024-04-02,GBP,KHR,0.790857
2024-04-02,THB,KHR,35.662751
2024-04-02,KRW,KHR,1319.089553
2024-04-03,USD,KHR,0.999649
2024-04-03,EUR,KHR,0.915189
2024-04-03,JPY,KHR,150.320518
2024-04-03,CNY,KHR,7.222982
2024-04-03,GBP,KHR,0.791629
2024-04-03,THB,KHR,35.297479
2024-04-03,KRW,KHR,1329.639047
2024-04-04,USD,KHR,0.998668
2024-04-04,EUR,KHR,0.916424
2024-04-04,JPY,KHR,150.766063
2024-04-04,CNY,KHR,7.201354
2024-04-04,GBP,KHR,0.789623
2024-04-04,THB,KHR,35.507908
2024-04-04,KRW,KHR,1310.773335
2024-04-05,USD,KHR,1.001343
2024-04-05,EUR,KHR,0.926894
2024-04-05,JPY,KHR,147.141945
2024-04-05,CNY,KHR,7.198037
2024-04-05,GBP,KHR,0.793831
2024-04-05,THB,KHR,35.361228
2024-04-05,KRW,KHR,1316.408991
2024-04-08,USD,KHR,1.00013
2024-04-08,EUR,KHR,0.923183
2024-04-08,JPY,KHR,149.23299
2024-04-08,CNY,KHR,7.242758
2024-04-08,GBP,KHR,0.786318
2024-04-08,THB,KHR,35.637637
2024-04-08,KRW,KHR,1315.4233
2024-04-09,USD,KHR,1.00034
2024-04-09,EUR,KHR,0.917646
2024-04-09,JPY,KHR,149.627163
2024-04-09,CNY,KHR,7.23513
2024-04-09,GBP,KHR,0.78923
2024-04-09,THB,KHR,35.392032
2024-04-09,KRW,KHR,1327.358854
2024-04-10,USD,KHR,1.001414
2024-04-10,EUR,KHR,0.921118
2024-04-10,JPY,KHR,150.375873
2024-04-10,CNY,KHR,7.26427
2024-04-10,GBP,KHR,0.794399
2024-04-10,THB,KHR,35.532307
2024-04-10,KRW,KHR,1321.961257
2024-04-11,USD,KHR,1.000864
2024-04-11,EUR,KHR,0.920317
2024-04-11,JPY,KHR,148.335194
2024-04-11,CNY,KHR,7.240691
2024-04-11,GBP,KHR,0.781049
2024-04-11,THB,KHR,35.499372
2024-04-11,KRW,KHR,1323.81956
2024-04-12,USD,KHR,1.001236
2024-04-12,EUR,KHR,0.920696
2024-04-12,JPY,KHR,150.610055
2024-04-12,CNY,KHR,7.239984
2024-04-12,GBP,KHR,0.785149
2024-04-12,THB,KHR,35.349688
2024-04-12,KRW,KHR,1311.039654
2024-04-15,USD,KHR,0.998634
2024-04-15,EUR,KHR,0.922915
2024-04-15,JPY,KHR,149.251693
2024-04-15,CNY,KHR,7.256516
2024-04-15,GBP,KHR,0.790348
2024-04-15,THB,KHR,35.611191
2024-04-15,KRW,KHR,1329.796181
2024-04-16,USD,KHR,0.999355
2024-04-16,EUR,KHR,0.918738
2024-04-16,JPY,KHR,148.862737
2024-04-16,CNY,KHR,7.193047
2024-04-16,GBP,KHR,0.793201
2024-04-16,THB,KHR,35.626607
2024-04-16,KRW,KHR,1319.940602
2024-04-17,USD,KHR,0.999507
2024-04-17,EUR,KHR,0.925018
2024-04-17,JPY,KHR,146.695425
2024-04-17,CNY,KHR,7.24514
2024-04-17,GBP,KHR,0.790679
2024-04-17,THB,KHR,35.439204
2024-04-17,KRW,KHR,1332.858149
2024-04-18,USD,KHR,1.000971
2024-04-18,EUR,KHR,0.918799
2024-04-18,JPY,KHR,149.396312
2024-04-18,CNY,KHR,7.228763
2024-04-18,GBP,KHR,0.787573
2024-04-18,THB,KHR,35.360677
2024-04-18,KRW,KHR,1332.750724
2024-04-19,USD,KHR,1.001028
2024-04-19,EUR,KHR,0.923672
2024-04-19,JPY,KHR,148.191174
2024-04-19,CNY,KHR,7.300261
2024-04-19,GBP,KHR,0.799386
2024-04-19,THB,KHR,35.520028
2024-04-19,KRW,KHR,1311.645001
2024-04-22,USD,KHR,0.999134
2024-04-22,EUR,KHR,0.921925
2024-04-22,JPY,KHR,148.408035
2024-04-22,CNY,KHR,7.239009
2024-04-22,GBP,KHR,0.79516
2024-04-22,THB,KHR,35.339523
2024-04-22,KRW,KHR,1338.532933
2024-04-23,USD,KHR,1.001567
2024-04-23,EUR,KHR,0.914309
2024-04-23,JPY,KHR,147.809285
2024-04-23,CNY,KHR,7.231792
2024-04-23,GBP,KHR,0.785112
2024-04-23,THB,KHR,35.471914
2024-04-23,KRW,KHR,1296.149842
2024-04-24,USD,KHR,0.999771
2024-04-24,EUR,KHR,0.928293
2024-04-24,JPY,KHR,148.164553
2024-04-24,CNY,KHR,7.232092
2024-04-24,GBP,KHR,0.782939
2024-04-24,THB,KHR,35.567972
2024-04-24,KRW,KHR,1317.918051
2024-04-25,USD,KHR,1.001941
2024-04-25,EUR,KHR,0.920951
2024-04-25,JPY,KHR,149.054873
2024-04-25,CNY,KHR,7.255936
2024-04-25,GBP,KHR,0.7876
2024-04-25,THB,KHR,35.357364
2024-04-25,KRW,KHR,1322.789997
2024-04-26,USD,KHR,0.999825
2024-04-26,EUR,KHR,0.920765
2024-04-26,JPY,KHR,149.949047
2024-04-26,CNY,KHR,7.225221
2024-04-26,GBP,KHR,0.791998
2024-04-26,THB,KHR,35.685065
2024-04-26,KRW,KHR,1309.763932
2024-04-29,USD,KHR,1.001737
2024-04-29,EUR,KHR,0.918883
2024-04-29,JPY,KHR,148.583115
2024-04-29,CNY,KHR,7.310292
2024-04-29,GBP,KHR,0.790735
2024-04-29,THB,KHR,35.645948
2024-04-29,KRW,KHR,1327.554571
2024-04-30,USD,KHR,0.998319
2024-04-30,EUR,KHR,0.920556
2024-04-30,JPY,KHR,148.871718
2024-04-30,CNY,KHR,7.201142
2024-04-30,GBP,KHR,0.781602
2024-04-30,THB,KHR,35.510894
2024-04-30,KRW,KHR,1325.453938
2024-05-01,USD,KHR,1.000391
2024-05-01,EUR,KHR,0.918593
2024-05-01,JPY,KHR,148.544974
2024-05-01,CNY,KHR,7.211421
2024-05-01,GBP,KHR,0.787369
2024-05-01,THB,KHR,35.38998
2024-05-01,KRW,KHR,1318.121742
2024-05-02,USD,KHR,0.999977
2024-05-02,EUR,KHR,0.915878
2024-05-02,JPY,KHR,149.222468
2024-05-02,CNY,KHR,7.217981
2024-05-02,GBP,KHR,0.789979
2024-05-02,THB,KHR,35.554005
2024-05-02,KRW,KHR,1321.645877
2024-05-03,USD,KHR,1.000472
2024-05-03,EUR,KHR,0.912401
2024-05-03,JPY,KHR,149.047079
2024-05-03,CNY,KHR,7.248014
2024-05-03,GBP,KHR,0.793039
2024-05-03,THB,KHR,35.329813
2024-05-03,KRW,KHR,1321.470807
2024-05-06,USD,KHR,1.001206
2024-05-06,EUR,KHR,0.919178
2024-05-06,JPY,KHR,149.386669
2024-05-06,CNY,KHR,7.253045
2024-05-06,GBP,KHR,0.791171
2024-05-06,THB,KHR,35.571849
2024-05-06,KRW,KHR,1320.669104
2024-05-07,USD,KHR,1.000152
2024-05-07,EUR,KHR,0.916401
2024-05-07,JPY,KHR,149.296156
2024-05-07,CNY,KHR,7.27629
2024-05-07,GBP,KHR,0.789032
2024-05-07,THB,KHR,35.482048
2024-05-07,KRW,KHR,1315.458509
2024-05-08,USD,KHR,1.000787
2024-05-08,EUR,KHR,0.916068
2024-05-08,JPY,KHR,150.588961
2024-05-08,CNY,KHR,7.212865
2024-05-08,GBP,KHR,0.784986
2024-05-08,THB,KHR,35.521933
2024-05-08,KRW,KHR,1321.202858
2024-05-09,USD,KHR,1.000298
2024-05-09,EUR,KHR,0.924888
2024-05-09,JPY,KHR,149.006655
2024-05-09,CNY,KHR,7.252829
2024-05-09,GBP,KHR,0.785687
2024-05-09,THB,KHR,35.634102
2024-05-09,KRW,KHR,1325.843918
2024-05-10,USD,KHR,1.000537
2024-05-10,EUR,KHR,0.920864
2024-05-10,JPY,KHR,148.560423
2024-05-10,CNY,KHR,7.230519
2024-05-10,GBP,KHR,0.792378
2024-05-10,THB,KHR,35.497957
2024-05-10,KRW,KHR,1321.143401
2024-05-13,USD,KHR,0.99864
2024-05-13,EUR,KHR,0.920833
2024-05-13,JPY,KHR,148.672455
2024-05-13,CNY,KHR,7.208627
2024-05-13,GBP,KHR,0.789267
2024-05-13,THB,KHR,35.302282
2024-05-13,KRW,KHR,1326.454787
2024-05-14,USD,KHR,1.000852
2024-05-14,EUR,KHR,0.919754
2024-05-14,JPY,KHR,148.311437
2024-05-14,CNY,KHR,7.212622
2024-05-14,GBP,KHR,0.789284
2024-05-14,THB,KHR,35.241872
2024-05-14,KRW,KHR,1321.667605
2024-05-15,USD,KHR,1.000664
2024-05-15,EUR,KHR,0.918565
2024-05-15,JPY,KHR,148.908695
2024-05-15,CNY,KHR,7.24527
2024-05-15,GBP,KHR,0.791662
2024-05-15,THB,KHR,35.616527
2024-05-15,KRW,KHR,1320.169985
2024-05-16,USD,KHR,0.99931
2024-05-16,EUR,KHR,0.917878
2024-05-16,JPY,KHR,149.717607
2024-05-16,CNY,KHR,7.285068
2024-05-16,GBP,KHR,0.788482
2024-05-16,THB,KHR,35.387906
2024-05-16,KRW,KHR,1311.960215
2024-05-17,USD,KHR,0.997904
2024-05-17,EUR,KHR,0.921517
2024-05-17,JPY,KHR,147.871856
2024-05-17,CNY,KHR,7.204278
2024-05-17,GBP,KHR,0.780634
2024-05-17,THB,KHR,35.380934
2024-05-17,KRW,KHR,1325.25215
2024-05-20,USD,KHR,0.998689
2024-05-20,EUR,KHR,0.911952
2024-05-20,JPY,KHR,149.713203
